Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-16,76.929,76.967,75.868,76.356,647800,0.0,0.0
2017-05-17,76.356,76.356,74.875,75.782,646700,0.0,0.0
2017-05-18,75.486,76.012,75.018,75.859,865400,0.0,0.0
2017-05-19,76.394,78.228,76.069,78.199,652500,0.0,0.0
2017-05-22,78.343,78.467,77.597,78.094,712800,0.0,0.0
2017-05-23,78.333,78.916,77.683,78.343,580400,0.0,0.0
2017-05-24,78.333,78.476,77.76,78.257,363300,0.0,0.0
2017-05-25,78.524,79.04,78.276,78.801,594800,0.0,0.0
2017-05-26,78.648,78.648,77.492,77.617,935900,0.0,0.0
2017-05-30,77.387,78.868,77.387,78.706,510500,0.0,0.0
2017-05-31,78.534,78.706,77.54,78.094,793100,0.0,0.0
2017-06-01,78.677,79.67,77.913,79.279,639200,0.0,0.0
2017-06-02,79.393,81.247,78.868,80.406,671400,0.0,0.0
2017-06-05,80.158,80.989,79.986,80.005,504300,0.0,0.0
2017-06-06,79.613,79.852,78.381,78.572,563500,0.0,0.0
2017-06-07,78.629,79.842,78.601,79.632,562800,0.0,0.0
2017-06-08,79.69,81.667,79.327,81.094,653100,0.0,0.0
2017-06-09,81.037,82.594,80.654,82.221,597200,0.0,0.0
2017-06-12,82.106,83.434,81.591,83.406,867200,0.0,0.0
2017-06-13,83.406,84.877,83.358,84.552,797200,0.0,0.0
2017-06-14,84.753,85.211,83.673,84.093,770200,0.0,0.0
2017-06-15,83.014,84.686,83.014,84.113,634700,0.0,0.0
2017-06-16,83.941,85.02,83.759,84.944,841700,0.0,0.0
2017-06-19,85.106,85.412,84.552,85.221,736600,0.0,0.0
2017-06-20,84.8,85.144,83.597,84.542,755700,0.0,0.0
2017-06-21,84.638,84.905,83.883,84.265,1032500,0.0,0.0
2017-06-22,84.476,84.476,83.568,84.399,490700,0.0,0.0
2017-06-23,84.361,85.431,84.151,84.562,1917200,0.0,0.0
2017-06-26,84.561,85.393,84.476,84.991,417500,0.0,0.0
2017-06-27,85.077,85.889,84.466,84.504,400700,0.0,0.0
2017-06-28,85.182,86.711,84.647,86.166,540900,0.0,0.0
2017-06-29,86.367,86.759,85.402,86.252,509300,0.0,0.0
2017-06-30,86.31,87.886,86.31,87.408,1042600,0.0,0.0
2017-07-03,87.886,89.319,87.886,88.373,457000,0.0,0.0
2017-07-05,88.411,89.615,87.561,87.637,512100,0.0,0.0
2017-07-06,87.647,88.545,86.405,86.539,557800,0.0,0.0
2017-07-07,86.491,87.007,85.545,86.931,388700,0.0,0.0
2017-07-10,86.482,87.122,85.899,86.453,474900,0.0,0.0
2017-07-11,86.644,87.198,85.966,86.816,777900,0.0,0.0
2017-07-12,86.74,88.593,86.74,87.857,731600,0.0,0.0
2017-07-13,87.122,87.829,85.947,86.205,564300,0.0,0.0
2017-07-14,86.31,86.95,85.822,85.822,670500,0.0,0.0
2017-07-17,85.278,86.329,84.6,85.268,1057600,0.0,0.0
2017-07-18,85.02,85.574,84.667,85.555,394600,0.0,0.0
2017-07-19,85.631,86.205,84.886,86.166,507400,0.0,0.0
2017-07-20,86.233,86.472,84.179,84.323,701100,0.0,0.0
2017-07-21,84.227,84.495,82.957,83.578,737100,0.0,0.0
2017-07-24,83.587,83.921,82.756,83.062,834000,0.0,0.0
2017-07-25,74.034,75.773,70.672,74.97,6608500,0.0,0.0
2017-07-26,75.649,75.649,70.519,70.71,4425000,0.0,0.0
2017-07-27,70.691,72.257,70.156,72.238,2065700,0.0,0.0
2017-07-28,72.038,72.372,71.197,71.694,1201500,0.0,0.0
2017-07-31,71.684,72.305,71.665,71.99,981000,0.0,0.0
2017-08-01,71.98,72.907,70.385,70.538,831100,0.0,0.0
2017-08-02,70.347,70.777,69.353,70.337,893900,0.0,0.0
2017-08-03,70.328,70.452,69.239,70.146,1327800,0.0,0.0
2017-08-04,70.309,71.684,69.984,71.302,560000,0.0,0.0
2017-08-07,71.054,71.417,70.624,71.006,553600,0.0,0.0
2017-08-08,70.595,71.149,69.554,69.946,568600,0.0,0.0
2017-08-09,69.506,70.137,69.057,69.812,524800,0.0,0.0
2017-08-10,69.601,69.678,68.759,69.152,881300,0.12,0.0
2017-08-11,69.286,69.831,69.094,69.668,1066600,0.0,0.0
2017-08-14,69.85,70.051,68.817,68.893,861000,0.0,0.0
2017-08-15,68.616,68.769,67.965,68.625,839100,0.0,0.0
2017-08-16,68.683,69.104,68.348,69.056,710300,0.0,0.0
2017-08-17,68.807,69.085,68.147,68.262,1190300,0.0,0.0
2017-08-18,68.243,68.243,67.362,67.803,712700,0.0,0.0
2017-08-21,67.745,67.764,66.827,67.219,647100,0.0,0.0
2017-08-22,67.439,67.793,66.74,67.697,442400,0.0,0.0
2017-08-23,67.382,67.621,66.989,67.056,519100,0.0,0.0
2017-08-24,67.267,67.554,66.865,67.123,627600,0.0,0.0
2017-08-25,67.41,67.649,66.874,67.171,652900,0.0,0.0
2017-08-28,67.401,67.506,67.238,67.42,518800,0.0,0.0
2017-08-29,67.008,67.889,66.98,67.63,603300,0.0,0.0
2017-08-30,67.382,67.573,66.865,67.382,653700,0.0,0.0
2017-08-31,67.812,67.812,66.903,67.525,524700,0.0,0.0
2017-09-01,67.688,69.046,67.688,68.951,787100,0.0,0.0
2017-09-05,68.74,69.582,68.386,69.027,870900,0.0,0.0
2017-09-06,69.448,69.477,66.473,66.693,908000,0.0,0.0
2017-09-07,66.674,67.429,66.214,67.209,536000,0.0,0.0
2017-09-08,67.018,67.468,66.587,67.248,620100,0.0,0.0
2017-09-11,67.669,68.176,67.496,68.157,483300,0.0,0.0
2017-09-12,68.358,69.19,68.118,68.96,423100,0.0,0.0
2017-09-13,68.903,69.381,68.673,68.817,510400,0.0,0.0
2017-09-14,68.855,68.855,68.042,68.396,713500,0.0,0.0
2017-09-15,68.568,69.372,68.214,69.228,846300,0.0,0.0
2017-09-18,69.372,70.769,69.123,70.711,447200,0.0,0.0
2017-09-19,70.807,71.18,70.53,71.142,520200,0.0,0.0
2017-09-20,71.764,72.032,71.171,71.812,872100,0.0,0.0
2017-09-21,71.869,72.128,71.276,71.974,648200,0.0,0.0
