Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-19,112.912,114.664,110.562,111.718,3182000,0.0,0.0
2017-05-22,113.398,115.472,112.884,114.866,1979800,0.0,0.0
2017-05-23,115.49,117.087,113.701,113.939,1907800,0.0,0.0
2017-05-24,113.976,114.426,113.178,113.802,1100100,0.0,0.0
2017-05-25,113.829,114.573,113.499,114.206,1000300,0.0,0.0
2017-05-26,114.215,116.849,114.215,115.39,1354100,0.0,0.0
2017-05-30,115.39,117.097,115.05,116.17,1617300,0.0,0.0
2017-05-31,116.427,118.235,115.178,118.115,1697100,0.0,0.0
2017-06-01,120.96,124.136,119.997,122.603,4059300,0.0,0.0
2017-06-02,123.392,123.833,122.236,123.603,2293600,0.0,0.0
2017-06-05,123.301,123.714,121.603,122.319,1423700,0.0,0.0
2017-06-06,122.53,123.291,121.41,121.695,1892400,0.0,0.0
2017-06-07,122.309,122.309,120.382,121.428,2371500,0.0,0.0
2017-06-08,122.465,123.86,121.603,123.649,2609600,0.0,0.0
2017-06-09,123.466,123.98,117.106,118.932,3109700,0.0,0.0
2017-06-12,118.088,121.465,117.5,119.538,1921200,0.0,0.0
2017-06-13,121.566,123.53,121.208,123.126,1665400,0.0,0.0
2017-06-14,123.356,124.136,121.685,122.511,1235900,0.0,0.0
2017-06-15,120.648,123.301,120.088,123.016,1257100,0.0,0.0
2017-06-16,123.356,125.714,122.897,123.402,1806200,0.0,0.0
2017-06-19,125.366,127.375,124.916,127.036,1824800,0.0,0.0
2017-06-20,126.742,127.128,125.109,125.852,1359700,0.0,0.0
2017-06-21,125.76,127.054,125.356,126.155,897200,0.0,0.0
2017-06-22,126.072,126.614,124.797,125.779,1126900,0.0,0.0
2017-06-23,125.356,127.017,124.861,126.944,1455900,0.0,0.0
2017-06-26,127.109,128.183,125.503,125.87,1174500,0.0,0.0
2017-06-27,125.733,127.339,124.2,124.475,1729800,0.0,0.0
2017-06-28,124.797,125.448,122.989,124.76,1268400,0.0,0.0
2017-06-29,124.631,124.65,120.3,121.841,1779600,0.0,0.0
2017-06-30,122.19,123.952,120.869,123.089,1455000,0.0,0.0
2017-07-03,121.878,121.97,118.225,120.235,2005600,0.0,0.0
2017-07-05,120.777,121.961,119.336,121.529,1212300,0.0,0.0
2017-07-06,121.181,121.896,120.07,120.144,1276900,0.0,0.0
2017-07-07,120.043,122.465,118.859,121.566,1334800,0.0,0.0
2017-07-10,121.786,124.035,121.529,123.851,1119800,0.0,0.0
2017-07-11,123.888,124.723,122.08,123.246,1391100,0.0,0.0
2017-07-12,124.42,125.301,124.007,124.145,1183400,0.0,0.0
2017-07-13,124.998,125.118,123.438,123.879,953800,0.0,0.0
2017-07-14,118.877,120.997,116.564,119.694,4478300,0.0,0.0
2017-07-17,119.308,120.529,118.299,119.171,2156900,0.0,0.0
2017-07-18,119.272,122.713,119.244,122.566,1740700,0.0,0.0
2017-07-19,123.246,124.062,121.052,122.218,1359400,0.0,0.0
2017-07-20,122.3,122.456,120.869,121.144,1008800,0.0,0.0
2017-07-21,121.318,124.448,121.309,123.108,1646700,0.0,0.0
2017-07-24,125.026,127.981,124.393,127.137,2814000,0.0,0.0
2017-07-25,127.651,128.174,125.43,127.55,3743200,0.0,0.0
2017-07-26,121.144,122.062,117.877,121.144,8653800,0.0,0.0
2017-07-27,121.447,122.181,116.867,117.491,4513400,0.0,0.0
2017-07-28,117.335,120.345,117.152,118.023,2730500,0.0,0.0
2017-07-31,118.905,120.529,117.978,118.703,2475300,0.0,0.0
2017-08-01,119.428,119.639,116.941,117.473,2424100,0.0,0.0
2017-08-02,117.326,117.39,113.949,115.591,2906300,0.0,0.0
2017-08-03,115.821,116.729,114.903,115.949,1238600,0.0,0.0
2017-08-04,116.16,117.381,115.518,117.023,1034400,0.0,0.0
2017-08-07,117.767,119.721,117.473,119.519,1707400,0.0,0.0
2017-08-08,120.367,121.325,119.206,119.833,1791700,0.5,0.0
2017-08-09,119.363,119.833,118.331,119.63,1789000,0.0,0.0
2017-08-10,118.847,119.326,116.019,116.101,2174300,0.0,0.0
2017-08-11,115.687,116.424,114.342,115.742,1235200,0.0,0.0
2017-08-14,117.29,118.359,116.802,118.091,1293200,0.0,0.0
2017-08-15,120.984,125.775,120.92,125.655,5147800,0.0,0.0
2017-08-16,125.895,126.18,124.752,125.711,2131200,0.0,0.0
2017-08-17,125.296,126.319,123.582,124.025,2190300,0.0,0.0
2017-08-18,123.923,126.199,122.983,124.282,1729600,0.0,0.0
2017-08-21,125.287,125.757,122.744,124.964,1671300,0.0,0.0
2017-08-22,125.738,127.092,125.102,125.434,1931800,0.0,0.0
2017-08-23,123.361,124.78,122.781,124.144,1720300,0.0,0.0
2017-08-24,124.651,124.651,122.136,123.545,1474400,0.0,0.0
2017-08-25,123.315,124.642,122.366,124.052,1128900,0.0,0.0
2017-08-28,124.246,124.642,121.85,123.361,1976400,0.0,0.0
2017-08-29,122.947,124.826,122.191,124.605,1136700,0.0,0.0
2017-08-30,124.66,125.609,123.932,125.388,1012100,0.0,0.0
2017-08-31,126.319,128.926,125.628,128.051,2629700,0.0,0.0
2017-09-01,130.271,133.413,129.764,132.132,3014100,0.0,0.0
2017-09-05,131.358,132.593,129.755,131.284,1836000,0.0,0.0
2017-09-06,132.491,132.583,130.907,132.095,1817300,0.0,0.0
2017-09-07,132.666,135.891,132.5,134.279,1860700,0.0,0.0
2017-09-08,134.076,135.329,132.814,133.062,1081100,0.0,0.0
2017-09-11,134.665,134.702,132.86,134.417,1516700,0.0,0.0
2017-09-12,134.048,134.748,132.583,134.435,992300,0.0,0.0
2017-09-13,134.877,134.96,133.182,134.021,933400,0.0,0.0
2017-09-14,133.588,133.707,132.62,132.758,1070400,0.0,0.0
2017-09-15,132.768,133.726,131.625,131.948,1534800,0.0,0.0
2017-09-18,132.454,133.67,132.132,132.519,900700,0.0,0.0
2017-09-19,132.832,135.78,132.666,135.439,1968900,0.0,0.0
2017-09-20,135.753,136.259,132.749,134.223,1223400,0.0,0.0
2017-09-21,133.717,134.325,131.469,133.956,1361100,0.0,0.0
2017-09-22,133.505,134.592,133.219,133.505,1022800,0.0,0.0
2017-09-25,132.169,132.629,129.165,130.022,2193500,0.0,0.0
2017-09-26,131.174,133.588,130.63,133.237,1085700,0.0,0.0
2017-09-27,133.588,135.449,133.201,133.846,1348500,0.0,0.0
2017-09-28,133.956,134.629,132.823,133.016,1132800,0.0,0.0
2017-09-29,135.531,138.332,134.942,137.199,3215000,0.0,0.0
2017-10-02,135.532,137.153,133.956,135.495,3006000,0.0,0.0
2017-10-03,136.047,136.563,134.841,135.513,1709000,0.0,0.0
2017-10-04,135.098,135.965,134.463,135.403,1525000,0.0,0.0
2017-10-05,135.928,138.563,135.255,135.393,1718500,0.0,0.0
2017-10-06,133.293,134.352,131.119,132.611,3339400,0.0,0.0
2017-10-09,131.192,132.86,128.244,132.086,2587500,0.0,0.0
2017-10-10,132.924,133.846,130.778,131.321,1503900,0.0,0.0
2017-10-11,130.851,132.841,130.833,131.994,870200,0.0,0.0
2017-10-12,132.261,134.417,129.082,129.681,2441900,0.0,0.0
2017-10-13,130.17,131.938,129.193,131.128,1450300,0.0,0.0
2017-10-16,132.602,136.48,132.473,135.255,2831200,0.0,0.0
2017-10-17,135.025,135.725,134.325,134.877,1005900,0.0,0.0
2017-10-18,134.619,135.274,133.136,133.892,1173000,0.0,0.0
2017-10-19,132.666,134.168,132.104,134.076,785200,0.0,0.0
2017-10-20,135.246,135.264,132.869,133.072,1063100,0.0,0.0
2017-10-23,133.035,135.181,133.035,133.366,1212700,0.0,0.0
2017-10-24,133.597,134.186,132.924,133.505,735400,0.0,0.0
2017-10-25,133.219,135.016,131.745,132.215,1705400,0.0,0.0
2017-10-26,134.076,134.601,131.496,133.901,2748100,0.0,0.0
